Average_SAT,Percent_White,Percent_Black,Percent_Asian
619.67,0.29,0.13,0.39
397.67,0.12,0.39,0.06
420.33,0.03,0.28,0.09
509.67,0.02,0.03,0.89
399,0.04,0.24,0.13
638,0.45,0.17,0.17
388.33,0.03,0.42,0.06
415,0.03,0.4,0.06
381.33,0.03,0.25,0.3
383,0.04,0.31,0.06
430.67,0.02,0.28,0.14
442.33,0.07,0.19,0.22
430,0.06,0.2,0.31
349.67,0.1,0.14,0.31
530.67,0.57,0.14,0.06
453.33,0.06,0.43,0.04
442.33,0.19,0.24,0.03
411.67,0.03,0.31,0.06
568,0.33,0.08,0.38
418.33,0.02,0.53,0.04
452.67,0.07,0.23,0.22
392.67,0.04,0.28,0.04
442.33,0.08,0.22,0.09
549.67,0.23,0.06,0.55
529.67,0.36,0.12,0.14
503.67,0.07,0.1,0.07
566.67,0.46,0.06,0.28
391,0.03,0.29,0.06
405.33,0.04,0.28,0.03
386,0.02,0.24,0.04
434,0.04,0.36,0.05
537.33,0.12,0.13,0.34
419,0.03,0.29,0.08
512,0.29,0.2,0.09
335,0.02,0.05,0.02
382.33,0.05,0.28,0.06
384,0.02,0.35,0.02
364.33,0.02,0.27,0.02
436,0.02,0.21,0.05
421.67,0.03,0.3,0.06
455.67,0.07,0.15,0.15
462.67,0.11,0.24,0.09
372,0,0,0
430.67,0.06,0.3,0.08
428,0.03,0.4,0.05
629.67,0.61,0.04,0.2
381.33,0.01,0.39,0
402.33,0.02,0.36,0.02
588,0.52,0.14,0.09
593.67,0.45,0.11,0.19
418.33,0.03,0.33,0.04
549,0.13,0.16,0.26
411.33,0.02,0.42,0.02
380.67,0.03,0.23,0.01
493.33,0.32,0.16,0.09
408.67,0.05,0.25,0.02
391.33,0.01,0.52,0.02
382.33,0.02,0.68,0.02
563.33,0.15,0.22,0.14
357,0.03,0.47,0.01
388.67,0.01,0.52,0.01
378.33,0.02,0.32,0.01
463.33,0.04,0.25,0.07
432.33,0.02,0.28,0.05
471.67,0.03,0.28,0.09
518.67,0.04,0.21,0.19
433.67,0.01,0.38,0.01
398.67,0.01,0.78,0.01
629.67,0.27,0.1,0.39
453,0.02,0.32,0.05
363.33,0,0,0
387,0.03,0.05,0
433.33,0.01,0.04,0
359.67,0.04,0.41,0.04
444.67,0.09,0.37,0.02
510.67,0.43,0.26,0.03
418.33,0.04,0.21,0.04
410.33,0.03,0.46,0.09
455,0.01,0.7,0.02
380.67,0.01,0.14,0.02
369,0.01,0.09,0
392,0.02,0.17,0
463.33,0.01,0.04,0.01
382.67,0.02,0.16,0.01
392.67,0.12,0.17,0.29
493,0.2,0.33,0.05
412,0.05,0.27,0.08
433.33,0.03,0.28,0.04
714.67,0.2,0.01,0.73
419.33,0.2,0.31,0.05
475.33,0.5,0.22,0.07
451.67,0.18,0.38,0.07
428,0.22,0.28,0.07
680.33,0.52,0.01,0.41
448,0.52,0.12,0.08
482,0.8,0.02,0.05
491,0.48,0.11,0.13
451.33,0.62,0.14,0.03
469.67,0.56,0.09,0.11
388,0,0.31,0
409,0.01,0.23,0.02
400.67,0.01,0.29,0
366.67,0.01,0.32,0.02
401,0.02,0.3,0.01
380.67,0.02,0.36,0.03
374.67,0.01,0.3,0.02
378,0.01,0.29,0.01
351,0,0,0
409,0.01,0.25,0.02
331.67,0.01,0.14,0.07
449.67,0.02,0.23,0.04
430,0.02,0.3,0.03
373,0.01,0.25,0
386.67,0,0.34,0.01
335,0.02,0.2,0.03
376.67,0.01,0.41,0.01
488.67,0.02,0.25,0.06
415.33,0,0.29,0.04
396,0.01,0.45,0.01
379.33,0,0.21,0.02
381.67,0.01,0.27,0.01
394,0,0.26,0.01
386.33,0.02,0.5,0.01
428.33,0.01,0.33,0.01
392.67,0,0.29,0.01
404.67,0.01,0.2,0.01
373.67,0.01,0.36,0
380.33,0.01,0.27,0.02
426,0.01,0.37,0.07
401.67,0.01,0.61,0
357,0.01,0.33,0.02
386,0.01,0.34,0.02
411,0.01,0.29,0.01
388.33,0.03,0.21,0.03
396.33,0.02,0.24,0.01
407.67,0.02,0.3,0.02
404.67,0.03,0.31,0.01
409.67,0.02,0.32,0.03
365.33,0.03,0.28,0.02
387,0,0.22,0.01
372.33,0,0.43,0
382.33,0.01,0.37,0
410.67,0.01,0.2,0.01
364.33,0.02,0.44,0.01
410.67,0.01,0.25,0.03
371.67,0.02,0.34,0.02
343.67,0,0.29,0
371.33,0.02,0.27,0.01
389.67,0.02,0.25,0.02
374.67,0.01,0.59,0.01
398,0.07,0.28,0.03
417.33,0.11,0.24,0.09
413.33,0.07,0.27,0.04
416.33,0.03,0.11,0.03
381.33,0.03,0.3,0.02
397,0.01,0.34,0.07
385.33,0.02,0.3,0.01
430.33,0.05,0.25,0.09
422.67,0.03,0.36,0.03
485.67,0.24,0.12,0.08
376,0.08,0.09,0.14
397.33,0.04,0.62,0.03
400,0.01,0.64,0.03
369.67,0.01,0.38,0.01
402,0.02,0.29,0.02
385.67,0.02,0.45,0.05
390.67,0.01,0.34,0.05
408,0.02,0.4,0.04
414,0.01,0.45,0.03
367.33,0.03,0.2,0.02
680.33,0.22,0.03,0.63
329,0.02,0.05,0.07
407.67,0.02,0.17,0.03
425.33,0.01,0.25,0.01
671,0.51,0.04,0.23
438,0.04,0.32,0.09
385.33,0.01,0,0
416,0.11,0.33,0.07
426,0.07,0.36,0.06
338.67,0.11,0.12,0.17
469,0.1,0.34,0.12
428.67,0.09,0.29,0.03
308,0,0,0
442.33,0.04,0.22,0.04
355.33,0.01,0.18,0.01
422,0.02,0.22,0.04
431.33,0.02,0.26,0.03
354,0.01,0.08,0.08
401.33,0.02,0.3,0.02
371.67,0.01,0.32,0.04
417,0.02,0.31,0.06
387,0.01,0.26,0.04
388.33,0.03,0.5,0.04
403.33,0.03,0.25,0.02
424.33,0.01,0.26,0.06
418.33,0.03,0.52,0.08
397.33,0.02,0.52,0.02
445,0.07,0.06,0.12
437.67,0.14,0.13,0.16
381,0.07,0.05,0.08
