Borough,City,Student_Enrollment,Percent_White,Percent_Black,Percent_Asian,Average_Score_SAT_Math,Average_Score_SAT_Reading,Average_Score_SAT_Writing,Percent_Tested,Average_SAT
Manhattan,Manhattan,1735,0.29,0.13,0.39,657,601,601,0.91,619.67
Manhattan,Manhattan,358,0.12,0.39,0.06,395,411,387,0.79,397.67
Manhattan,Manhattan,383,0.03,0.28,0.09,418,428,415,0.65,420.33
Manhattan,Manhattan,416,0.02,0.03,0.89,613,453,463,0.96,509.67
Manhattan,Manhattan,255,0.04,0.24,0.13,410,406,381,0.6,399.00
Manhattan,Manhattan,545,0.45,0.17,0.17,634,641,639,0.71,638.00
Manhattan,Manhattan,329,0.03,0.42,0.06,389,395,381,0.81,388.33
Manhattan,Manhattan,363,0.03,0.4,0.06,438,413,394,0.36,415.00
Manhattan,Manhattan,304,0.03,0.25,0.3,437,355,352,0.7,381.33
Manhattan,Manhattan,441,0.04,0.31,0.06,381,396,372,0.74,383.00
Manhattan,Manhattan,423,0.02,0.28,0.14,430,435,427,0.88,430.67
Manhattan,Manhattan,1664,0.07,0.19,0.22,452,445,430,0.87,442.33
Manhattan,Manhattan,437,0.06,0.2,0.31,446,433,411,0.7,430.00
Manhattan,Manhattan,353,0.1,0.14,0.31,403,330,316,0.53,349.67
Manhattan,Manhattan,482,0.57,0.14,0.06,501,550,541,0.79,530.67
Manhattan,Manhattan,530,0.06,0.43,0.04,446,459,455,0.8,453.33
Manhattan,Manhattan,447,0.19,0.24,0.03,446,453,428,0.79,442.33
Manhattan,Manhattan,566,0.03,0.31,0.06,411,415,409,0.6,411.67
Manhattan,Manhattan,659,0.33,0.08,0.38,577,560,567,0.94,568.00
Manhattan,Manhattan,405,0.02,0.53,0.04,418,420,417,0.75,418.33
Manhattan,Manhattan,796,0.07,0.23,0.22,469,442,447,0.67,452.67
Manhattan,Manhattan,699,0.04,0.28,0.04,390,396,392,0.55,392.67
Manhattan,Manhattan,666,0.08,0.22,0.09,454,428,445,0.85,442.33
Manhattan,Manhattan,451,0.23,0.06,0.55,592,526,531,0.94,549.67
Manhattan,Manhattan,713,0.36,0.12,0.14,534,533,522,0.9,529.67
Manhattan,Manhattan,415,0.07,0.1,0.07,522,479,510,0.99,503.67
Manhattan,Manhattan,587,0.46,0.06,0.28,595,550,555,0.8,566.67
Manhattan,Manhattan,483,0.03,0.29,0.06,378,407,388,0.72,391.00
Manhattan,Manhattan,438,0.04,0.28,0.03,410,407,399,0.7,405.33
Manhattan,Manhattan,355,0.02,0.24,0.04,386,386,386,0.31,386.00
Manhattan,Manhattan,1770,0.04,0.36,0.05,433,442,427,0.81,434.00
Manhattan,Manhattan,471,0.12,0.13,0.34,560,530,522,0.9,537.33
Manhattan,Manhattan,439,0.03,0.29,0.08,439,418,400,0.8,419.00
Manhattan,Manhattan,442,0.29,0.2,0.09,518,515,503,0.96,512.00
Manhattan,Manhattan,334,0.02,0.05,0.02,350,334,321,0.46,335.00
Manhattan,Manhattan,284,0.05,0.28,0.06,375,385,387,0.63,382.33
Manhattan,Manhattan,449,0.02,0.35,0.02,395,386,371,0.68,384.00
Manhattan,Manhattan,406,0.02,0.27,0.02,366,356,371,0.57,364.33
Manhattan,Manhattan,424,0.02,0.21,0.05,451,433,424,0.56,436.00
Manhattan,Manhattan,414,0.03,0.3,0.06,445,417,403,0.61,421.67
Manhattan,Manhattan,1301,0.07,0.15,0.15,469,454,444,0.74,455.67
Manhattan,Manhattan,1476,0.11,0.24,0.09,455,475,458,0.7,462.67
Manhattan,Manhattan,529,0,0,0,409,360,347,0.84,372.00
Manhattan,Manhattan,472,0.06,0.3,0.08,445,432,415,0.78,430.67
Manhattan,Manhattan,427,0.03,0.4,0.05,428,435,421,0.52,428.00
Manhattan,Manhattan,541,0.61,0.04,0.2,641,617,631,0.86,629.67
Manhattan,Manhattan,447,0.01,0.39,0,375,389,380,0.59,381.33
Manhattan,Manhattan,412,0.02,0.36,0.02,392,419,396,0.5,402.33
Manhattan,Manhattan,1285,0.52,0.14,0.09,583,586,595,0.83,588.00
Manhattan,Manhattan,2635,0.45,0.11,0.19,592,592,597,0.89,593.67
Manhattan,Manhattan,594,0.03,0.33,0.04,421,428,406,0.44,418.33
Manhattan,Manhattan,451,0.13,0.16,0.26,581,531,535,0.97,549.00
Manhattan,Manhattan,510,0.02,0.42,0.02,415,417,402,0.61,411.33
Manhattan,Manhattan,353,0.03,0.23,0.01,393,371,378,0.6,380.67
Manhattan,Manhattan,387,0.32,0.16,0.09,489,491,500,0.89,493.33
Manhattan,Manhattan,496,0.05,0.25,0.02,406,407,413,0.59,408.67
Manhattan,Manhattan,445,0.01,0.52,0.02,381,401,392,0.53,391.33
Manhattan,Manhattan,411,0.02,0.68,0.02,390,384,373,0.64,382.33
Manhattan,Manhattan,659,0.15,0.22,0.14,583,561,546,0.88,563.33
Manhattan,Manhattan,234,0.03,0.47,0.01,357,349,365,0.54,357.00
Manhattan,Manhattan,358,0.01,0.52,0.01,379,399,388,0.77,388.67
Manhattan,Manhattan,322,0.02,0.32,0.01,385,380,370,0.57,378.33
Manhattan,Manhattan,466,0.04,0.25,0.07,483,468,439,0.98,463.33
Manhattan,Manhattan,413,0.02,0.28,0.05,429,433,435,0.9,432.33
Manhattan,Manhattan,480,0.03,0.28,0.09,478,465,472,1,471.67
Manhattan,Manhattan,1603,0.04,0.21,0.19,556,505,495,0.88,518.67
Manhattan,Manhattan,428,0.01,0.38,0.01,416,445,440,0.37,433.67
Manhattan,Manhattan,561,0.01,0.78,0.01,402,394,400,0.85,398.67
Manhattan,Manhattan,470,0.27,0.1,0.39,683,610,596,0.93,629.67
Manhattan,Manhattan,1354,0.02,0.32,0.05,459,453,447,0.74,453.00
Manhattan,Manhattan,504,0,0,0,383,355,352,0.71,363.33
Manhattan,Manhattan,629,0.03,0.05,0,387,389,385,0.55,387.00
Manhattan,Manhattan,705,0.01,0.04,0,443,423,434,0.87,433.33
Manhattan,Manhattan,283,0.04,0.41,0.04,344,368,367,0.41,359.67
Manhattan,Manhattan,246,0.09,0.37,0.02,425,451,458,0.9,444.67
Manhattan,Manhattan,536,0.43,0.26,0.03,496,520,516,0.72,510.67
Manhattan,Manhattan,676,0.04,0.21,0.04,418,422,415,0.54,418.33
Manhattan,Manhattan,971,0.03,0.46,0.09,418,415,398,0.44,410.33
Manhattan,Manhattan,1428,0.01,0.7,0.02,463,452,450,0.65,455.00
Manhattan,Manhattan,479,0.01,0.14,0.02,378,381,383,0.33,380.67
Manhattan,Manhattan,491,0.01,0.09,0,367,377,363,0.42,369.00
Manhattan,Manhattan,671,0.02,0.17,0,401,394,381,0.44,392.00
Manhattan,Manhattan,587,0.01,0.04,0.01,495,445,450,0.95,463.33
Manhattan,Manhattan,605,0.02,0.16,0.01,374,385,389,0.56,382.67
Manhattan,Manhattan,343,0.12,0.17,0.29,438,358,382,0.59,392.67
Manhattan,Manhattan,506,0.2,0.33,0.05,485,498,496,0.89,493.00
Manhattan,Manhattan,486,0.05,0.27,0.08,431,409,396,0.64,412.00
Manhattan,Manhattan,697,0.03,0.28,0.04,435,440,425,0.63,433.33
Manhattan,Manhattan,3296,0.2,0.01,0.73,754,697,693,0.97,714.67
Staten Island,Staten Island,624,0.2,0.31,0.05,420,429,409,0.38,419.33
Staten Island,Staten Island,1327,0.5,0.22,0.07,483,473,470,0.79,475.33
Staten Island,Staten Island,2499,0.18,0.38,0.07,453,458,444,0.64,451.67
Staten Island,Staten Island,1628,0.22,0.28,0.07,432,427,425,0.45,428.00
Staten Island,Staten Island,1247,0.52,0.01,0.41,711,660,670,1,680.33
Staten Island,Staten Island,2791,0.52,0.12,0.08,454,446,444,0.64,448.00
Staten Island,Staten Island,3982,0.8,0.02,0.05,494,476,476,0.79,482.00
Staten Island,Staten Island,3363,0.48,0.11,0.13,496,490,487,0.66,491.00
Staten Island,Staten Island,479,0.62,0.14,0.03,442,458,454,0.56,451.33
Staten Island,Staten Island,520,0.56,0.09,0.11,477,468,464,0.84,469.67
Bronx,Bronx,475,0,0.31,0,390,398,376,0.3,388.00
Bronx,Bronx,778,0.01,0.23,0.02,403,409,415,0.64,409.00
Bronx,Bronx,587,0.01,0.29,0,402,405,395,0.56,400.67
Bronx,Bronx,495,0.01,0.32,0.02,384,355,361,0.61,366.67
Bronx,Bronx,591,0.02,0.3,0.01,398,400,405,0.58,401.00
Bronx,Bronx,554,0.02,0.36,0.03,374,386,382,0.58,380.67
Bronx,Bronx,324,0.01,0.3,0.02,380,382,362,0.38,374.67
Bronx,Bronx,375,0.01,0.29,0.01,390,373,371,0.3,378.00
Bronx,Bronx,322,0,0,0,371,334,348,0.79,351.00
Bronx,Bronx,654,0.01,0.25,0.02,419,414,394,0.77,409.00
Bronx,Bronx,463,0.01,0.14,0.07,345,338,312,0.58,331.67
Bronx,Bronx,544,0.02,0.23,0.04,463,451,435,0.8,449.67
Bronx,Bronx,486,0.02,0.3,0.03,420,446,424,0.88,430.00
Bronx,Bronx,364,0.01,0.25,0,377,373,369,0.45,373.00
Bronx,Bronx,384,0,0.34,0.01,363,401,396,0.31,386.67
Bronx,Bronx,409,0.02,0.2,0.03,355,330,320,0.59,335.00
Bronx,Bronx,333,0.01,0.41,0.01,370,379,381,0.41,376.67
Bronx,Bronx,457,0.02,0.25,0.06,513,468,485,0.74,488.67
Bronx,Bronx,503,0,0.29,0.04,424,413,409,0.93,415.33
Bronx,Bronx,449,0.01,0.45,0.01,400,391,397,0.78,396.00
Bronx,Bronx,546,0,0.21,0.02,394,381,363,0.81,379.33
Bronx,Bronx,421,0.01,0.27,0.01,377,385,383,0.38,381.67
Bronx,Bronx,471,0,0.26,0.01,407,389,386,0.45,394.00
Bronx,Bronx,427,0.02,0.5,0.01,387,386,386,0.51,386.33
Bronx,Bronx,619,0.01,0.33,0.01,445,418,422,0.88,428.33
Bronx,Bronx,382,0,0.29,0.01,395,401,382,0.46,392.67
Bronx,Bronx,402,0.01,0.2,0.01,417,399,398,0.46,404.67
Bronx,Bronx,686,0.01,0.36,0,375,372,374,0.49,373.67
Bronx,Bronx,375,0.01,0.27,0.02,382,375,384,0.59,380.33
Bronx,Bronx,472,0.01,0.37,0.07,431,421,426,0.84,426.00
Bronx,Bronx,608,0.01,0.61,0,398,410,397,0.66,401.67
Bronx,Bronx,339,0.01,0.33,0.02,365,360,346,0.33,357.00
Bronx,Bronx,336,0.01,0.34,0.02,385,385,388,0.51,386.00
Bronx,Bronx,632,0.01,0.29,0.01,402,421,410,0.78,411.00
Bronx,Bronx,599,0.03,0.21,0.03,404,383,378,0.57,388.33
Bronx,Bronx,398,0.02,0.24,0.01,401,402,386,0.65,396.33
Bronx,Bronx,416,0.02,0.3,0.02,413,408,402,0.55,407.67
Bronx,Bronx,401,0.03,0.31,0.01,398,404,412,0.56,404.67
Bronx,Bronx,487,0.02,0.32,0.03,408,417,404,0.67,409.67
Bronx,Bronx,438,0.03,0.28,0.02,355,373,368,0.44,365.33
Bronx,Bronx,326,0,0.22,0.01,387,388,386,0.66,387.00
Bronx,Bronx,236,0,0.43,0,376,372,369,0.59,372.33
Bronx,Bronx,325,0.01,0.37,0,378,391,378,0.26,382.33
Bronx,Bronx,565,0.01,0.2,0.01,417,412,403,0.72,410.67
Bronx,Bronx,170,0.02,0.44,0.01,366,362,365,0.27,364.33
Bronx,Bronx,618,0.01,0.25,0.03,418,406,408,0.41,410.67
Bronx,Bronx,355,0.02,0.34,0.02,364,385,366,0.77,371.67
Bronx,Bronx,470,0,0.29,0,345,347,339,0.75,343.67
Bronx,Bronx,358,0.02,0.27,0.01,377,372,365,0.43,371.33
Bronx,Bronx,571,0.02,0.25,0.02,393,397,379,0.71,389.67
Bronx,Bronx,501,0.01,0.59,0.01,379,372,373,0.49,374.67
Bronx,Bronx,444,0.07,0.28,0.03,390,411,393,0.52,398.00
Bronx,Bronx,1535,0.11,0.24,0.09,426,419,407,0.29,417.33
Bronx,Bronx,483,0.07,0.27,0.04,408,428,404,0.33,413.33
Bronx,Bronx,1022,0.03,0.11,0.03,426,419,404,0.86,416.33
Bronx,Bronx,426,0.03,0.3,0.02,384,394,366,0.48,381.33
Bronx,Bronx,417,0.01,0.34,0.07,394,406,391,0.6,397.00
Bronx,Bronx,428,0.02,0.3,0.01,382,384,390,0.67,385.33
Bronx,Bronx,449,0.05,0.25,0.09,451,417,423,0.93,430.33
